comnam,ticker,filingYr
CERUS CORP,CERS,1997
ERGOBILT INC,ERGB,1997
APPIANT TECHNOLOGIES INC,NHAN,1997
TRIGON HEALTHCARE INC,TGH,1997
MEDICAL MANAGER CORP,MMGR,1997
NATIONAL AUTO FINANCE CO INC,NAFI,1997
SCPIE HOLDINGS INC,SKP,1997
"EPIX PHARMACEUTICALS, INC.",EPIX,1997
HOMESIDE INTERNATIONAL INC,HSL,1997
MEDIALINK WORLDWIDE INC,MDLK,1997
CAREDATA COM INC,MDMD,1997
METRO INFORMATION SERVICES INC,MISI,1997
COLDWATER CREEK INC,CWTR,1997
"INSPERITY, INC.",ASF,1997
PHOTOELECTRON CORP,PECX,1997
TEMPLATE SOFTWARE INC,TMPL,1997
"AMEGY BANCORPORATION, INC.",SWBT,1997
COULTER PHARMACEUTICALS INC,CLTR,1997
ENERGY SEARCH INC,EGASU,1997
RDO EQUIPMENT CO,RDO,1997
"SUNCAST SOLAR ENERGY, INC",PDSE,1997
SEEC INC,SEEC,1997
"EF JOHNSON TECHNOLOGIES, INC.",TRII,1997
EARTHLINK NETWORK INC,ELNK,1997
CD WAREHOUSE INC,CDWI,1997
"WI-TRON, INC.",AMPD,1997
ECO SOIL SYSTEMS INC,ESSI,1997
MC INFORMATICS INC,HDSK,1997
VITA FOOD PRODUCTS INC,VSF,1997
ROSLYN BANCORP INC,RSLN,1997
ARAMEX INTERNATIONAL LTD,ARMXF,1997
"HELIOS TECHNOLOGIES, INC.",SNHY,1997
ADVANCE FINANCIAL BANCORP,AFBC,1997
FIRST AVIATION SERVICES INC,FAVS,1997
GENERAL CIGAR HOLDINGS INC,MPP,1997
MERCURY WASTE SOLUTIONS INC,MWSI,1997
VISTANA INC,VSTN,1997
SUPERIOR SUPPLEMENTS INC,SPSUU,1997
SPECIAL METALS CORP,SMCX,1997
NACT TELECOMMUNICATIONS INC,NACT,1997
"DELTEK, INC",DLTK,1997
EDGE PETROLEUM CORP,EPEX,1997
"DIAMOND MANAGEMENT & TECHNOLOGY CONSULTANTS, INC.",DTPI,1997
