 Filing Date	Issue Date	Issuer	Main SIC Code	Ticker Symbol	Bookrunner(s)	Gross spread ($)	Gross Spread as % of Prncpl Amt - in this Mkt	Proceeds Amt - in this Mkt ($ mil)	Offer Price	Type of Security	9-Digit Cusip	Primary Exchange Where Issuer's Stock Trades	Management Fee as % of Prncpl Amt - in this Mkt	Underwriting Fee as % of Prncpl Amt - in this Mkt	Selling Concession as % of Prncpl Amt - in this Mkt	Marketplace	Original High Filing Price	Original Low Filing Price	Shares Filed - in this Mkt	Amt Filed - in this Mkt ($ mil)	Primary Shares Offered - in this Mkt	Secondary Shs Ofrd- in this Mkt	Lock up Expiration Date	Percent of Shares Outstanding Subject to Lockup Agreement	Lockup Days	Lockup Shares	Depositary	Units	Venture Backed	Spin-off Parent Ticker	Spinoff's Parent	Number of Bookrunners	RANK_NO_LEADS	"Number of Lead, Co-lead, & Co-managers"	Stock Price at Close of Offer/1st Trade	Opening Stock Price at First Trade	permno	cusip	comnam	ticker	begprc	prc	Match Name	Match Date	diff date	mid	c1	c2	c3	c4	Word Length_sentiment	negative	positive	uncertainty	litigious	strongmodal	weakmodal	constraining	internet	underpricing
7/28/92	6/26/98	Cumulus Media Inc	4832	CMLS	LEH	0.98	7	83.8	14	Class A Shares	231082108	Nasdaq	1.429	1.643	3.92857	U.S. Public				100	5064782	921790					No	No	No			1	1	3	14		86155	23108260	CUMULUS MEDIA INC	CMLS	6/26/98	14	CUMULUS MEDIA INC	6/29/98	3	0	4.225352113	5.633802817	0	1.408450704	142	0	0	0.042253521	0	0.014084507	0	0.014084507	0	0
11/9/94	2/20/97	Brylane Inc	5961	BYL	MERRILL	1.68	7	96	24	Common Shares	117661108	New York	1.417	1.417	4.16667	U.S. Public			3500000		4000000		5/21/97 0:00		90	12905000	No	No	No			1	1	3	1.13		84573	11766110	BRYLANE INC	BYL	2/21/97	24	"REDCATS USA, INC."	2/21/97	0	0	0	6.18556701	0	1.030927835	97	0	0	0.010309278	0.010309278	0	0	0	0	0
1/26/95	8/10/98	Pilot Network Services	7373	PILT	CS-FB	0.98	7	38.2	14	Common Shares	721596104	Nasdaq	1.357	1.429	4.21429	U.S. Public				56.1	2607615	117385					No	No	Yes			1	1	3	13.63		86342	72159610	PILOT NETWORK SERVICES INC	PILT	8/11/98	13.625	PILOT NETWORK SERVICES INC	8/11/98	0	0	0	5.238095238	0.476190476	0.952380952	212	0.009433962	0	0.033018868	0.004716981	0.014150943	0.004716981	0.004716981	1	-0.026785714
1/26/95	8/10/98	Pilot Network Services	7373	PILT	CS-FB	0.98	7	38.2	14	Common Shares	721596104	Nasdaq	1.357	1.429	4.21429	U.S. Public				56.1	2607615	117385					No	No	Yes			1	1	3	13.63		86342	72159610	PILOT NETWORK SERVICES INC	PILT	8/11/98	13.625	PILOT NETWORK SERVICES INC	8/11/98	0	0	0	5.238095238	0.476190476	0.952380952	212	0.009433962	0	0.033018868	0.004716981	0.014150943	0.004716981	0.004716981	1	-0.026785714
6/8/95	6/9/99	Skechers USA Inc	3143	SKX	BT-ALEX-BROWN	0.77	7	60.8	11	Class A Shares	830566105	New York	1.455	1.727	3.81818	U.S. Public	15	13		115.1	5530000						No	No	No			1	1	2	10.63		86949	83056610	SKECHERS U S A INC	SKX	6/9/99	10.625	SKECHERS USA INC	6/10/99	1	14	0	2.136752137	0.427350427	0.427350427	234	0.008547009	0	0.021367521	0	0.004273504	0	0	0	-0.034090909
9/15/95	1/28/97	Administaff Inc	7363	ASF	MS	1.19	7	51	17	Common Shares	7094105	New York	1.412	1.412	4.17647	U.S. Public	15	15		45	3000000		7/27/97 0:00		180		No	No	Yes			1	1	2	22		84385	45778Q10	ADMINISTAFF INC	ASF	1/29/97	22	"INSPERITY, INC."	1/29/97	0	15	2.419354839	3.629032258	0.806451613	2.419354839	249	0	0.016064257	0.036144578	0.004016064	0.012048193	0.008032129	0	0	0.294117647
5/17/96	2/18/97	VDI Media	7812	VDIM	PSI	0.49	7	19.6	7	Common Shares	917916108	Nasdaq	1.429	1.714	3.85714	U.S. Public	13	11	2300000	27.6	2600000	200000	8/17/97 0:00		180	6260400	No	No	No			1	1	2	7.38		84565	73069810	V D I MEDIA	VDIM	2/19/97	7.375	OLD POINT.360	2/19/97	0	12	3.092783505	3.608247423	0	1.030927835	195	0	0	0.01025641	0.005128205	0.020512821	0	0.015384615	0	0.053571429
5/21/96	5/2/97	DTM Corp	3559	DTMC	A-G-EDWARDS	0.56	7	24.3	8	Common Shares	23333L103	Nasdaq	1.5	1.75	3.75	U.S. Public	13	11	2514000	30.2	2852191	186809	10/29/97 0:00		180		No	No	No			1	1	2	8		84802	23333L10	D T M CORP NEW	DTMC	5/2/97	8	DTM CORP /TX/	5/5/97	3	12	0	8.695652174	0	0	116	0	0	0.025862069	0.00862069	0.034482759	0	0.017241379	0	0
7/8/96	5/13/97	ASD Group Inc	8711	ASDG	MEYERS	0.575	10	5.4	5.75	Common Shares	1988104	Sm Cap Mkt	2.87	2.261	4.86957	U.S. Public	8.5	8	1500000	12.4	945000		11/9/97 0:00		180		No	No	No			1	1	1	5.75		84790	198810	A S D GROUP INC	ASDG	5/13/97	5.75	SUPER NOVA RESOURCES INC.	5/19/97	6	8.25	0	3.816793893	0	2.290076336	263	0.007604563	0.011406844	0.053231939	0.007604563	0.022813688	0.003802281	0.015209125	0	0
7/12/96	3/4/97	Aviation Distributors Inc	3728	ADIN	CRUTTENDEN-ROTH	0.45	9	6	5	Common Shares	05366P101	Sm Cap Mkt	1.6	2.4	5	U.S. Public	8	6	1000000	7	1200000		8/31/97 0:00		180		No	No	No			1	1	1	5.13		84594	05366P10	AVIATION DISTRIBUTORS INC	ADIN	3/4/97	5.125	AVIATION DISTRIBUTORS INC	3/4/97	0	7	0	4.081632653	0	4.081632653	148	0	0	0.02027027	0.02027027	0.027027027	0.006756757	0	0	0.025
