Match Name,Match Date,Word Length,c1,c2,c3,c4
"HELIOS TECHNOLOGIES, INC.",1/9/97,133,0,8.270676692,0,4.511278195
,,,,,,
EARTHLINK NETWORK INC,1/22/97,307,0.651465798,4.560260586,0.651465798,2.605863192
CD WAREHOUSE INC,1/22/97,105,1.904761905,3.80952381,0,3.80952381
SEEC INC,1/27/97,127,1.57480315,1.57480315,0,3.937007874
,,,,,,
RDO EQUIPMENT CO,1/24/97,278,4.676258993,2.517985612,0.35971223,1.079136691
COLDWATER CREEK INC,1/29/97,105,0,4.761904762,0,0
"INSPERITY, INC.",1/29/97,248,2.419354839,3.629032258,0.806451613,2.419354839
,,,,,,
,,,,,,
COULTER PHARMACEUTICALS INC,1/29/97,188,1.595744681,1.063829787,1.063829787,1.595744681
MEDIALINK WORLDWIDE INC,1/30/97,66,6.060606061,3.03030303,0,0
TEMPLATE SOFTWARE INC,1/30/97,119,2.521008403,4.201680672,0.840336134,1.680672269
METRO INFORMATION SERVICES INC,1/30/97,162,1.234567901,3.086419753,0,2.469135802
PHOTOELECTRON CORP,1/29/97,171,0,1.169590643,0.584795322,0.584795322
SCPIE HOLDINGS INC,1/30/97,50,0,0,2,0
NATIONAL AUTO FINANCE CO INC,1/31/97,151,0,4.635761589,0,0
MEDICAL MANAGER CORP,1/31/97,154,2.597402597,6.493506494,0,0
HOMESIDE INTERNATIONAL INC,2/3/97,88,1.136363636,4.545454545,0,0
,,,,,,
CERUS CORP,1/31/97,170,1.176470588,1.764705882,0.588235294,3.529411765
"EPIX PHARMACEUTICALS, INC.",1/30/97,187,1.069518717,2.673796791,0.534759358,2.139037433
ERGOBILT INC,2/3/97,228,0.438596491,3.947368421,0,0
,,,,,,
,,,,,,
,,,,,,
VERICEL CORP,2/4/97,136,0,2.941176471,0.735294118,2.205882353
YURIE SYSTEMS INC,2/6/97,75,4,2.666666667,0,1.333333333
DIGITAL LIGHTWAVE INC,2/7/97,183,1.092896175,2.732240437,0.546448087,3.825136612
,,,,,,
BRUNSWICK TECHNOLOGIES INC,2/6/97,349,2.005730659,3.151862464,0.573065903,2.29226361
HEALTH GRADES INC,2/10/97,247,2.834008097,7.692307692,0,4.048582996
CIENA CORP,2/11/97,160,1.875,2.5,0.625,3.75
GENERAL BEARING CORP,2/10/97,358,1.117318436,1.955307263,0.837988827,3.631284916
FOUR MEDIA CO,2/7/97,305,2.62295082,2.950819672,0,1.31147541
,,,,,,
COAST DENTAL SERVICES INC,2/11/97,200,1.5,3.5,0,1
INDEPENDENCE BREWING CO,2/13/97,362,0.276243094,4.419889503,0,1.657458564
QUALIX GROUP INC,2/12/97,115,0.869565217,3.47826087,0.869565217,0.869565217
WESLEY JESSEN VISIONCARE INC,2/13/97,133,0,5.263157895,0,0
BIRMAN MANAGED CARE INC,2/13/97,247,0.809716599,2.429149798,0,0.809716599
RADIANT SYSTEMS INC,2/13/97,361,1.662049861,4.709141274,1.108033241,0.27700831
DAOU SYSTEMS INC,2/13/97,78,1.282051282,3.846153846,0,0
"ALERE SAN DIEGO, INC.",2/12/97,361,1.662049861,4.709141274,1.108033241,0.27700831
,,,,,,
GENTLE DENTAL SERVICE CORP,2/13/97,201,3.482587065,4.975124378,0,0.497512438
,,,,,,
AESP INC,2/18/97,412,0.485436893,4.126213592,0,1.941747573
JUDGE GROUP INC,2/18/97,179,2.234636872,4.469273743,0,0.558659218
OLD POINT.360,2/19/97,194,3.092783505,3.608247423,0,1.030927835
MICRO THERAPEUTICS INC,2/19/97,120,0,1.666666667,0.833333333,4.166666667
ILEX ONCOLOGY INC,2/21/97,323,1.547987616,1.857585139,2.476780186,2.167182663
,,,,,,
"REDCATS USA, INC.",2/21/97,97,0,6.18556701,0,1.030927835
U S RENTALS INC,2/21/97,84,1.19047619,10.71428571,0,1.19047619
OVERLAND STORAGE INC,2/21/97,117,2.564102564,3.418803419,0,0.854700855
SPECIAL METALS CORP,2/26/97,175,0,6.285714286,0,4.571428571
"DELTEK, INC",2/26/97,99,1.01010101,3.03030303,0,2.02020202
EDGE PETROLEUM CORP,2/27/97,120,1.666666667,8.333333333,1.666666667,2.5
NACT TELECOMMUNICATIONS INC,2/26/97,138,1.449275362,4.347826087,0.724637681,2.898550725
VISTANA INC,2/28/97,167,0.598802395,6.586826347,0,0.598802395
FIRST AVIATION SERVICES INC,2/28/97,215,3.255813953,4.186046512,0,2.325581395
GENERAL CIGAR HOLDINGS INC,2/28/97,111,1.801801802,3.603603604,0,1.801801802
AMERITRADE ONLINE HOLDINGS CORP,3/4/97,119,3.361344538,3.361344538,0,1.680672269
AVIATION DISTRIBUTORS INC,3/4/97,147,0,4.081632653,0,4.081632653
RIVIERA TOOL CO,3/5/97,196,2.551020408,4.591836735,1.020408163,0.510204082
NATIONWIDE FINANCIAL SERVICES INC/,3/7/97,95,0,2.105263158,0,0
