Name,Filing Date,Word Length,c1,c2,c3,c4
RF MICRO DEVICES INC,6/4/97,207,0,4.830917874,0,4.347826087
"SAREPTA THERAPEUTICS, INC.",6/5/97,232,0.862068966,1.724137931,1.293103448,0.431034483
PAMECO CORP,6/4/97,187,0,6.951871658,0,1.069518717
CONCERO INC,6/5/97,217,0.460829493,3.686635945,0,2.304147465
ESHARE COMMUNICATIONS INC,6/5/97,268,0.746268657,2.23880597,0,0
SILVERLEAF RESORTS INC,6/6/97,159,0,5.660377358,0,0.628930818
LOTTERY & WAGERING SOLUTIONS INC,6/6/97,421,0,3.800475059,0.475059382,2.375296912
CARDIMA INC,6/6/97,185,1.621621622,3.243243243,0,3.243243243
IRIDIUM WORLD COMMUNICATIONS LTD,6/10/97,110,0,1.818181818,0,0.909090909
MYTURN COM INC,6/23/99,371,1.347708895,2.964959569,0,2.69541779
HTE INC,6/12/97,159,1.257861635,5.031446541,0.628930818,3.144654088
EFAX COM INC,6/11/97,159,0,3.144654088,0,1.886792453
PEAPOD INC,6/11/97,77,0,3.896103896,0,2.597402597
RC2 CORP,6/13/97,157,0,6.369426752,0,0
RALPH LAUREN CORP,6/12/97,271,0.36900369,5.166051661,0,2.95202952
IWL COMMUNICATIONS INC,6/13/97,263,0.380228137,1.901140684,0.380228137,1.901140684
STAR TELECOMMUNICATIONS INC,6/12/97,211,1.421800948,3.317535545,0,1.895734597
WASTE INDUSTRIES INC,6/13/97,167,3.592814371,4.790419162,0,5.389221557
"MAXIMUS, INC.",6/17/97,159,0.628930818,2.51572327,1.257861635,0.628930818
GENESYS TELECOMMUNICATIONS LABORATORIES INC,6/17/97,102,0.980392157,2.941176471,0.980392157,0.980392157
INTEST CORP,6/17/97,223,3.587443946,3.139013453,0.448430493,1.793721973
ORBIT FR INC,6/17/97,95,4.210526316,8.421052632,0,2.105263158
STEEL VAULT CORP,6/18/97,218,2.293577982,1.834862385,0,1.834862385
