IPO name,Offer date,SIC,Ticker,Unit,Offer price
Cisco Systems,19900216,3577,CSCO,1,18
Valassis Communications,19920311,2752,VCI,1,17
America Online,19920319,4822,AMER,1,11.5
Olicom,19921022,7372,OLCMF,1,14
Micro Warehouse,19921210,5961,MWHS,1,18
FutureMedia,19930819,7812,FMDAY,2,5
Macromedia,19931213,7371,MACR,1,12
Navarre,19931216,5045,NAVR,1,5.625
Investment Technology Group,19940504,7379,ITGI,1,13
Netcom On-Line Communications,19941214,5045,NETC,1,13
Infosafe Systems,19950118,5045,ISFEA,2,5
Transaction Systems,19950223,7372,TSAI,1,15
UUNet Technologies,19950525,7375,UUNT,1,14
Spyglass,19950627,7372,SPYG,1,17
Netscape Communications,19950808,7375,NSCP,1,28
Tel-Save Holdings,19950920,4813,TALK,1,13.75
Verity,19951006,7379,VRTY,1,12
ADAM Software,19951110,7371,ADAM,1,12
Kinetiks.com,19951206,7373,KNET,1,6
DeltaPoint,19951220,7372,DTPT,1,6
CellularVision USA,19960208,4841,CVUS,1,15
CyberCash,19960215,7379,CYCH,1,17
Sterling Commerce,19960308,7372,SE,1,24
MindSpring Enterprises,19960314,7389,MSPG,1,8
Lycos,19960401,7379,LCOS,1,16
Excite Inc,19960403,7375,XCIT,1,17
Yahoo!,19960412,7375,YHOO,1,13
CompuServe,19960418,7375,CSRV,1,30
Infonautics,19960429,7375,INFO,1,14
Whittman-Hart,19960503,7379,WHIT,1,16
Legacy Software,19960514,7372,LGCY,1,6
Infoseek,19960611,7375,SEEK,1,12
C/NET,19960701,7812,CNET,1,16
Getty Communications,19960702,7389,GETTY,1,10
OneWave,19960702,7371,OWAV,1,16
E*Trade Group,19960816,6211,EGRP,1,10.5
Digex,19961016,4813,DIGX,1,10.125
UOL Publishing,19961126,8299,UOLP,1,13
e-NET Inc,19970407,7375,ETEL,1,5
ONSALE Inc,19970417,5734,ONSL,1,6
Go2Net Inc,19970423,7374,GNET,1,8
Amazon.com Inc,19970515,5961,AMZN,1,18
NetSpeak Corp,19970529,7375,NSPK,1,8.75
8x8 Inc,19970702,3674,EGHT,1,6.5
Ionica Group Plc,19970718,4813,IONCY,1,19.57
Concentric Network Corp,19970801,4813,CNCX,1,12
NextLink Communications Inc,19970926,4813,NXLK,1,17
Logility Inc,19971007,7379,LGTY,1,14.5
Concord Communications Inc,19971015,3669,CCRD,1,14
N2K Inc,19971017,7375,NTKI,1,19
Audio Book Club Inc,19971022,5942,KLB,1,10
SportsLine USA Inc,19971113,7375,SPLN,1,8
InterVU Inc,19971119,7371,ITVU,1,9.5
VeriSign Inc,19980129,7371,VRSN,1,14
CDnow Inc,19980209,5735,CDNW,1,16
Ambient Corporation,19980212,3674,ABTG,1,8
Icon CMT Corp,19980212,7373,ICMT,1,10
DoubleClick Inc,19980220,7319,DCLK,1,17
Exodus Communications Inc,19980318,4813,EXDS,1,15
CyberShop International Inc,19980323,7375,CYSP,1,6.5
ISS Group Inc,19980323,7372,ISSX,1,22
Broadcom Corp,19980416,3674,BRCM,1,24
First Virtual Corp,19980429,7372,FVCX,1,13
Tricom SA,19980504,4813,TDR,1,13
Verio Inc,19980511,7374,VRIO,1,23
Frontline Communications Corp,19980513,7379,FCCN,1,4
IBS Interactive Inc,19980514,7375,IBSX,1,6
Inktomi Corporation,19980609,7372,INKT,1,18
NetGravity Inc,19980611,7372,NETG,1,9
Asymetrix Learning Systems Inc,19980612,7371,ASYM,1,11
software.net Corp,19980617,7375,SWNT,1,9
Allegiance Telecom Inc,19980630,4813,ALGX,1,15
Broadcast.Com Inc,19980716,4899,BCST,1,18
Interactive Magic,19980722,7372,IMGK,1,8
Northeast Optic Network Inc,19980730,4813,NOPT,1,12
Cyberian Outpost,19980731,7372,COOL,1,18
GeoCities,19980810,7372,GCTY,1,17
Pilot Network Services,19980810,7373,PILT,1,14
Digital River Inc,19980811,7373,DRIV,1,8.5
24/7 Media Inc,19980813,7311,TFSM,1,14
Global Crossing Ltd,19980813,4813,GBLC,1,19
eBay Inc,19980924,7389,EBAY,1,18
EarthWeb Inc,19981110,7374,EWBX,1,14
theglobe.com inc,19981112,7375,TGLO,1,9
E-Tek Dynamics Inc,19981201,3674,ETEK,1,12
Ticketmaster Online-CitySearch,19981202,7922,TMCS,1,14
uBID,19981203,5961,UBID,1,15
Xoom.com Inc,19981209,7375,XMCM,1,14
AboveNet Communications Inc,19981210,4813,ABOV,1,13
Internet America Inc,19981210,7372,GEEK,1,13
InfoSpace.com,19981215,7374,INSP,1,15
Concur Technologies Inc,19981216,7372,CNQR,1,12.5
Artificial Life Inc,19981217,7372,ALIF,1,8.5
MarketWatch.com Inc,19990115,7375,MKTW,1,17
Covad Communications Group Inc,19990121,3661,COVD,1,18
Allaire Corp,19990122,7372,ALLR,1,20
Tut Systems Inc,19990128,3661,TUTS,1,18
Modem Media. Poppe Tyson Inc,19990205,4899,MMPT,1,16
VIALOG Corp,19990205,4813,VLOG,1,8
Healtheon Corp,19990210,7374,HLTH,1,8
Prodigy Communications Inc,19990210,7375,PRGY,1,15
VerticalNet Inc,19990210,7375,VERT,1,16
Vignette Corp,19990218,7372,VIGN,1,19
WebTrends Corporation,19990219,7372,WEBT,1,13
Intraware Inc,19990225,7375,ITRA,1,16
pcOrder.com,19990225,5734,PCOR,1,21
RoweCom Inc,19990308,5961,ROWE,1,16
FlashNet Communications Inc,19990316,4813,FLAS,1,17
Multex.com Inc,19990317,7374,MLTX,1,14
iVillage Inc,19990318,7375,IVIL,1,24
Cheap Tickets Inc,19990319,4724,CTIX,1,15
Autoweb.com,19990322,7375,AWEB,1,14
MiningCo.com Inc,19990324,7375,MINE,1,25
OneMain.com Inc,19990325,7375,ONEM,1,22
Autobytel.com Inc,19990326,7375,ABTL,1,23
Critical Path Inc,19990329,7375,CPTH,1,24
Priceline.com Inc,19990329,4724,PCLN,1,16
ZDNet,19990330,7375,ZDZ,1,19
Claimsnet.com Inc,19990406,7374,CLAI,1,8
Rhythms NetConnections,19990406,4813,RTHM,1,21
Extreme Networks,19990408,7373,EXTR,1,17
US Internetworking Inc,19990408,7379,USIX,1,21
Value America Inc,19990408,5999,VUSA,1,23
iTurf Inc,19990409,7375,TURF,1,22
WorldGate Communications Inc,19990415,7375,WGAT,1,21
Proxicom Inc,19990419,7373,PXCM,1,13
Internet Financial Services,19990420,6211,IFSX,1,7
Log On America Inc,19990422,7375,LOAX,1,10
Launch Media Inc,19990423,4899,LAUN,1,22
Net Perceptions Inc,19990423,7372,NETP,1,14
Razorfish Inc,19990426,7373,RAZF,1,16
topjobs.net plc,19990427,7361,TJOB,1,12
Marimba Inc,19990429,7372,MRBA,1,20
Mpath Interactive Inc,19990429,7299,MPTH,1,18
AppliedTheory Corporation,19990430,7373,ATHY,1,16
Townpagesnet.com Plc,19990430,7375,TPN,1,10
FlyCast Communications,19990504,7375,FCST,1,25
MapQuest.com Inc,19990504,7374,MQST,1,15
COMPS.COM INC,19990505,7375,CDOT,1,15
NorthPoint Communications Grp,19990505,4813,NPNT,1,24
Portal Software Inc,19990505,7372,PRSF,1,14
Silknet Software Inc,19990505,7375,SILK,1,15
AdForce Inc,19990507,7311,ADFC,1,15
Media Metrix Inc,19990507,8732,MMXI,1,17
NetObjects Inc,19990507,7372,NETO,1,12
TheStreet.com,19990510,7375,TSCM,1,19
CareerBuilder Inc,19990511,7372,CBDR,1,13
BiznessOnline.com Inc,19990512,7375,BIZZ,1,10
Copper Mountain Networks Inc,19990512,3661,CMTN,1,21
Scient Corporation,19990513,7379,SCNT,1,20
Alloy Online Inc,19990514,7375,ALOY,1,15
