Name,Filing Date,Word Length_category,c1,c2,c3,c4,ticker,Word Length_sentiment,negative,positive,uncertainty,litigious,strongmodal,weakmodal,constraining,internet
"HELIOS TECHNOLOGIES, INC.",1/9/97,133,0.0,8.270676692,0.0,4.511278195,SNHY,133.0,0.0,0.0,0.037593985,0.007518797,0.022556391,0.007518797,0.0,0
ARAMEX INTERNATIONAL LTD,1/16/97,197,2.030456853,1.015228426,0.507614213,1.015228426,ARMXF,198.0,0.0,0.0,0.035353535,0.02020202,0.03030303,0.01010101,0.005050505,0
ECO SOIL SYSTEMS INC,1/17/97,473,1.4799154330000002,6.131078224,0.6342494710000001,2.114164905,ESSI,485.0,0.020618557,0.004123711,0.018556701,0.006185567,0.010309278,0.004123711,0.008247423,0
VITA FOOD PRODUCTS INC,1/17/97,348,2.586206897,2.873563218,2.298850575,3.735632184,VSF,353.0,0.002832861,0.008498584,0.033994334,0.002832861,0.025495751,0.002832861,0.005665722,0
CD WAREHOUSE INC,1/22/97,105,1.904761905,3.80952381,0.0,3.80952381,CDWI,106.0,0.0,0.0,0.066037736,0.009433962,0.009433962,0.0,0.0,0
EARTHLINK NETWORK INC,1/22/97,307,0.6514657979999999,4.560260586,0.6514657979999999,2.605863192,ELNK,310.0,0.0,0.003225806,0.029032258,0.003225806,0.016129031999999998,0.006451613,0.019354839,0
"SUNCAST SOLAR ENERGY, INC",1/22/97,534,1.310861423,2.434456929,0.0,0.561797753,PDSE,539.0,0.00742115,0.003710575,0.020408163,0.011131725,0.020408163,0.016697588,0.00742115,0
ENERGY SEARCH INC,1/24/97,290,0.689655172,2.068965517,0.344827586,0.0,EGASU,293.0,0.003412969,0.0068259390000000005,0.030716724,0.0068259390000000005,0.023890785,0.003412969,0.003412969,0
RDO EQUIPMENT CO,1/24/97,278,4.676258993,2.517985612,0.35971223,1.079136691,RDO,279.0,0.0,0.003584229000000001,0.025089606,0.003584229000000001,0.014336918,0.007168459,0.0,0
SEEC INC,1/27/97,127,1.57480315,1.57480315,0.0,3.937007874,SEEC,129.0,0.0,0.0,0.03875969,0.007751938000000002,0.015503876000000003,0.007751938000000002,0.007751938000000002,0
"AMEGY BANCORPORATION, INC.",1/28/97,180,0.0,1.111111111,0.0,0.0,SWBT,180.0,0.016666667,0.0,0.011111111000000002,0.005555556,0.005555556,0.005555556,0.011111111000000002,0
"INSPERITY, INC.",1/29/97,248,2.419354839,3.629032258,0.806451613,2.419354839,ASF,249.0,0.0,0.016064257,0.036144578,0.004016064000000001,0.012048193,0.008032129,0.0,0
COULTER PHARMACEUTICALS INC,1/29/97,188,1.595744681,1.063829787,1.063829787,1.595744681,CLTR,191.0,0.005235602,0.010471204,0.020942408,0.02617801,0.02617801,0.005235602,0.015706806,0
