DATE,NASDAQCOM
1/2/97,1280.7
1/3/97,1310.68
1/6/97,1316.4
1/7/97,1327.73
1/8/97,1320.35
1/9/97,1326.2
1/10/97,1332.02
1/13/97,1330.91
1/14/97,1346.36
1/15/97,1333.53
1/16/97,1340.58
1/17/97,1349.05
1/20/97,1364.28
1/21/97,1376.97
1/22/97,1388.06
1/23/97,1378.37
1/24/97,1363.83
1/27/97,1352.81
1/28/97,1354.37
1/29/97,1355.17
1/30/97,1371.02
1/31/97,1379.85
2/3/97,1376.05
2/4/97,1373.75
2/5/97,1348.44
2/6/97,1346.4
2/7/97,1357.71
2/10/97,1335.34
2/11/97,1331.51
2/12/97,1358.96
2/13/97,1370.81
2/14/97,1367.19
2/17/97,.
2/18/97,1365.79
2/19/97,1365.58
2/20/97,1347.4
2/21/97,1334.32
2/24/97,1345.08
2/25/97,1347.69
2/26/97,1340.55
2/27/97,1312.66
2/28/97,1309
3/3/97,1311.18
3/4/97,1317.37
3/5/97,1329.09
3/6/97,1315.43
3/7/97,1311.8
3/10/97,1322.72
3/11/97,1316.76
3/12/97,1304.13
3/13/97,1293.28
3/14/97,1292.97
3/17/97,1279.43
3/18/97,1269.34
3/19/97,1249.29
3/20/97,1259.26
3/21/97,1254.07
3/24/97,1242.64
3/25/97,1248.06
3/26/97,1269.08
3/27/97,1249.51
3/28/97,.
3/31/97,1221.7
4/1/97,1216.93
4/2/97,1201
4/3/97,1213.76
4/4/97,1236.73
4/7/97,1251.35
4/8/97,1257.37
4/9/97,1249.43
4/10/97,1235.77
4/11/97,1206.9
4/14/97,1216.41
4/15/97,1212.88
4/16/97,1210.27
4/17/97,1217.07
4/18/97,1222.57
4/21/97,1203.95
4/22/97,1212.74
4/23/97,1227.14
4/24/97,1228.1
4/25/97,1209.29
4/28/97,1217.03
4/29/97,1242.63
4/30/97,1260.76
5/1/97,1270.5
5/2/97,1305.33
5/5/97,1339.24
5/6/97,1328.3
5/7/97,1322.91
5/8/97,1330.83
5/9/97,1335.05
5/12/97,1344.19
5/13/97,1333.59
5/14/97,1335.55
5/15/97,1353.58
5/16/97,1340.73
5/19/97,1341.24
5/20/97,1363.88
5/21/97,1373.75
5/22/97,1372.6
5/23/97,1389.72
5/26/97,.
5/27/97,1409.21
5/28/97,1410.18
5/29/97,1403.04
5/30/97,1400.32
6/2/97,1404.79
6/3/97,1384.91
6/4/97,1379.67
6/5/97,1390.05
6/6/97,1404.84
6/9/97,1412.04
6/10/97,1401.69
6/11/97,1407.85
6/12/97,1411.32
6/13/97,1423.03
6/16/97,1431.95
6/17/97,1443.11
6/18/97,1432.43
6/19/97,1447.14
6/20/97,1447.1
6/23/97,1434.32
6/24/97,1452.43
6/25/97,1446.24
6/26/97,1436.38
6/27/97,1438.15
6/30/97,1442.07
7/1/97,1438.25
7/2/97,1455.61
7/3/97,1467.61
7/4/97,.
7/7/97,1470.74
7/8/97,1485.1
7/9/97,1486.63
7/10/97,1490.93
7/11/97,1502.62
7/14/97,1523.88
7/15/97,1542.11
7/16/97,1580.63
7/17/97,1568.85
7/18/97,1547.99
7/21/97,1536.23
7/22/97,1563.86
7/23/97,1567.65
7/24/97,1569.13
7/25/97,1569.58
7/28/97,1563.53
7/29/97,1572.32
7/30/97,1588.05
7/31/97,1593.81
8/1/97,1594.33
8/4/97,1605.45
8/5/97,1621.53
8/6/97,1630.44
8/7/97,1624.18
8/8/97,1598.52
8/11/97,1586.74
8/12/97,1576.24
8/13/97,1583.4
8/14/97,1586.69
8/15/97,1562.03
8/18/97,1569.52
8/19/97,1600.71
8/20/97,1628.7
8/21/97,1607.36
8/22/97,1598.69
8/25/97,1601.57
8/26/97,1591.3
8/27/97,1595.54
8/28/97,1581.32
8/29/97,1587.32
9/1/97,.
9/2/97,1618.09
9/3/97,1618.24
9/4/97,1624.63
9/5/97,1635.77
9/8/97,1645.35
9/9/97,1656.22
9/10/97,1639.25
9/11/97,1639.86
9/12/97,1649.33
9/15/97,1634.92
9/16/97,1668.6
9/17/97,1666.47
9/18/97,1670.02
9/19/97,1680.36
9/22/97,1689.45
9/23/97,1697.36
9/24/97,1687.41
9/25/97,1678.89
9/26/97,1682.24
9/29/97,1694.98
9/30/97,1685.69
10/1/97,1690.3
10/2/97,1702.41
10/3/97,1715.87
10/6/97,1721.91
10/7/97,1737.27
10/8/97,1741.77
10/9/97,1745.85
10/10/97,1739.03
10/13/97,1742.12
10/14/97,1732.79
10/15/97,1723.37
10/16/97,1699.66
10/17/97,1666.85
10/20/97,1685.45
10/21/97,1712.54
10/22/97,1708.08
10/23/97,1671.25
10/24/97,1650.92
10/27/97,1535.09
10/28/97,1603.02
10/29/97,1602.75
10/30/97,1570.41
10/31/97,1593.61
11/3/97,1629.98
11/4/97,1631.15
11/5/97,1637.33
11/6/97,1623.44
11/7/97,1602.4
11/10/97,1590.72
11/11/97,1584.86
11/12/97,1541.72
11/13/97,1559.25
11/14/97,1583.51
11/17/97,1614.11
11/18/97,1600.44
11/19/97,1601.22
11/20/97,1626.56
11/21/97,1620.75
11/24/97,1586.99
11/25/97,1589.04
11/26/97,1594.5
11/27/97,.
11/28/97,1600.55
12/1/97,1630.72
12/2/97,1606.37
12/3/97,1615.13
12/4/97,1613.42
12/5/97,1633.9
12/8/97,1651.54
12/9/97,1620.55
12/10/97,1596.61
12/11/97,1558.54
12/12/97,1536.58
12/15/97,1536.56
12/16/97,1553
12/17/97,1547.37
12/18/97,1523.19
12/19/97,1524.74
12/22/97,1532.06
12/23/97,1509.91
12/24/97,1499.53
12/25/97,.
12/26/97,1511.38
12/29/97,1537.45
12/30/97,1565.03
12/31/97,1570.35
1/1/98,.
1/2/98,1581.53
1/5/98,1594.12
1/6/98,1580.14
1/7/98,1561.7
1/8/98,1555.54
1/9/98,1503.22
1/12/98,1507.58
1/13/98,1541.63
1/14/98,1548.76
1/15/98,1547.06
1/16/98,1562.88
1/19/98,.
1/20/98,1590.14
1/21/98,1587.92
1/22/98,1576.51
1/23/98,1575.93
1/26/98,1561.46
1/27/98,1578.9
1/28/98,1610.82
1/29/98,1619.49
1/30/98,1619.36
2/2/98,1652.89
2/3/98,1666.34
2/4/98,1680.44
2/5/98,1676.9
2/6/98,1694.35
2/9/98,1690.43
2/10/98,1709.04
2/11/98,1708.55
2/12/98,1714.34
2/13/98,1710.42
2/16/98,.
2/17/98,1703.43
2/18/98,1715.73
2/19/98,1727.01
2/20/98,1728.13
2/23/98,1751.76
2/24/98,1738.71
2/25/98,1766.48
2/26/98,1777.11
2/27/98,1770.51
3/2/98,1758.54
3/3/98,1757.14
3/4/98,1759.7
3/5/98,1711.92
3/6/98,1753.49
3/9/98,1725.16
3/10/98,1748.51
3/11/98,1756.85
3/12/98,1764.06
3/13/98,1771.66
3/16/98,1788.18
3/17/98,1779.3
3/18/98,1788.28
3/19/98,1799.98
3/20/98,1789.16
3/23/98,1792.51
3/24/98,1812.44
3/25/98,1824.51
3/26/98,1828.54
3/27/98,1823.62
3/30/98,1818.7
3/31/98,1835.68
4/1/98,1847.66
4/2/98,1852.96
4/3/98,1855.4
4/6/98,1829.14
4/7/98,1798.71
4/8/98,1807.01
4/9/98,1820.24
4/10/98,.
4/13/98,1824.95
4/14/98,1843.03
4/15/98,1863.26
4/16/98,1858.24
4/17/98,1866.6
4/20/98,1887.14
4/21/98,1903.87
4/22/98,1917.61
4/23/98,1881.39
4/24/98,1868.96
4/27/98,1820.31
4/28/98,1831.77
4/29/98,1851.64
4/30/98,1868.41
5/1/98,1873.44
5/4/98,1878.86
5/5/98,1864.91
5/6/98,1856.68
5/7/98,1835.14
5/8/98,1864.37
5/11/98,1848.07
5/12/98,1860.16
5/13/98,1866.18
5/14/98,1865.36
5/15/98,1846.77
5/18/98,1831.62
5/19/98,1845.87
5/20/98,1831.75
5/21/98,1820.99
5/22/98,1805
5/25/98,.
5/26/98,1778.09
5/27/98,1781.1
5/28/98,1794.62
5/29/98,1778.87
6/1/98,1746.82
6/2/98,1761.79
6/3/98,1742.31
6/4/98,1769.95
6/5/98,1782.92
6/8/98,1787.77
6/9/98,1800.76
6/10/98,1773.25
6/11/98,1749.75
6/12/98,1745.05
6/15/98,1715.75
6/16/98,1753.12
6/17/98,1776.4
6/18/98,1772.7
6/19/98,1781.29
6/22/98,1805.82
6/23/98,1844.57
6/24/98,1877.76
6/25/98,1863.25
6/26/98,1869.53
6/29/98,1891.08
6/30/98,1894.74
7/1/98,1914.46
7/2/98,1894
7/3/98,.
7/6/98,1909.47
7/7/98,1908.11
7/8/98,1935.39
7/9/98,1939.82
7/10/98,1943.04
7/13/98,1965.53
7/14/98,1968.41
7/15/98,1994.54
7/16/98,2000.56
7/17/98,2008.76
7/20/98,2014.25
7/21/98,1979.14
7/22/98,1969.75
7/23/98,1935.22
7/24/98,1930.99
7/27/98,1933.26
7/28/98,1896.53
7/29/98,1881.49
7/30/98,1919.58
7/31/98,1872.39
8/3/98,1851.1
8/4/98,1785.64
8/5/98,1788.2
8/6/98,1829.51
8/7/98,1846.77
8/10/98,1839.21
8/11/98,1792.7
8/12/98,1825.53
8/13/98,1802.54
8/14/98,1790.19
8/17/98,1818.04
8/18/98,1855.12
8/19/98,1842.69
8/20/98,1832.45
8/21/98,1797.61
8/24/98,1790.82
8/25/98,1798.17
8/26/98,1768.13
8/27/98,1686.41
8/28/98,1639.68
8/31/98,1499.25
9/1/98,1575.09
9/2/98,1592.85
9/3/98,1571.86
9/4/98,1566.52
9/7/98,.
9/8/98,1660.86
9/9/98,1624.55
9/10/98,1585.33
9/11/98,1641.64
9/14/98,1665.69
9/15/98,1678.11
9/16/98,1689.91
9/17/98,1646.25
9/18/98,1663.77
9/21/98,1680.43
9/22/98,1697.8
9/23/98,1760.27
9/24/98,1720.34
9/25/98,1743.59
9/28/98,1739.22
9/29/98,1734.05
9/30/98,1693.84
10/1/98,1612.33
10/2/98,1614.98
10/5/98,1536.69
10/6/98,1510.89
10/7/98,1462.61
10/8/98,1419.12
10/9/98,1492.49
10/12/98,1546.08
10/13/98,1509.45
10/14/98,1540.97
10/15/98,1611.01
10/16/98,1620.95
10/19/98,1648.73
10/20/98,1639.19
10/21/98,1674.75
10/22/98,1702.64
10/23/98,1693.86
10/26/98,1724.98
10/27/98,1717.63
10/28/98,1737.35
10/29/98,1757.19
10/30/98,1771.39
11/2/98,1800.91
11/3/98,1788.43
11/4/98,1823.57
11/5/98,1837.1
11/6/98,1856.56
11/9/98,1861.05
11/10/98,1865.62
11/11/98,1862.11
11/12/98,1851.06
11/13/98,1847.99
11/16/98,1861.68
11/17/98,1878.52
11/18/98,1897.44
11/19/98,1919.68
11/20/98,1928.21
11/23/98,1977.42
11/24/98,1965.88
11/25/98,1985.21
11/26/98,.
11/27/98,2016.44
11/30/98,1949.54
12/1/98,2003.75
12/2/98,1995.21
12/3/98,1954.33
12/4/98,2003.16
12/7/98,2040.64
12/8/98,2034.75
12/9/98,2050.42
12/10/98,2015.96
12/11/98,2029.31
12/14/98,1966.92
12/15/98,2012.6
12/16/98,2009.36
12/17/98,2043.88
12/18/98,2086.14
12/21/98,2138.03
12/22/98,2120.98
12/23/98,2172.54
12/24/98,2163.03
12/25/98,.
12/28/98,2180.3
12/29/98,2181.77
12/30/98,2166.95
12/31/98,2192.69
1/1/99,.
1/4/99,2208.05
1/5/99,2251.27
1/6/99,2320.86
1/7/99,2326.09
1/8/99,2344.41
1/11/99,2384.59
1/12/99,2320.75
1/13/99,2316.81
1/14/99,2276.82
1/15/99,2348.2
1/18/99,.
1/19/99,2408.17
1/20/99,2415.49
1/21/99,2344.72
1/22/99,2338.88
1/25/99,2369.31
1/26/99,2433.41
1/27/99,2407.14
1/28/99,2477.34
1/29/99,2505.89
2/1/99,2510.09
2/2/99,2463.42
2/3/99,2493.41
2/4/99,2410.07
2/5/99,2373.62
2/8/99,2404.92
2/9/99,2310.79
2/10/99,2309.5
2/11/99,2405.55
2/12/99,2321.89
2/15/99,.
2/16/99,2313.87
2/17/99,2248.91
2/18/99,2260.55
2/19/99,2283.6
2/22/99,2342.01
2/23/99,2376.35
2/24/99,2339.38
2/25/99,2326.82
2/26/99,2288.03
3/1/99,2295.18
3/2/99,2259.03
3/3/99,2265.2
3/4/99,2292.89
3/5/99,2337.11
3/8/99,2397.62
3/9/99,2392.94
3/10/99,2406
3/11/99,2412.25
3/12/99,2381.53
3/15/99,2431.44
