word,sentiment_category
ABANDON,negative
ABANDONED,negative
ABANDONING,negative
ABANDONMENT,negative
ABANDONMENTS,negative
ABANDONS,negative
ABDICATED,negative
ABDICATES,negative
ABDICATING,negative
ABDICATION,negative
ABDICATIONS,negative
ABERRANT,negative
ABERRATION,negative
ABERRATIONAL,negative
ABERRATIONS,negative
ABETTING,negative
ABNORMAL,negative
ABNORMALITIES,negative
ABNORMALITY,negative
ABNORMALLY,negative
ABOLISH,negative
ABOLISHED,negative
ABOLISHES,negative
ABOLISHING,negative
ABROGATE,negative
ABROGATED,negative
ABROGATES,negative
ABROGATING,negative
ABROGATION,negative
ABROGATIONS,negative
ABRUPT,negative
ABRUPTLY,negative
ABRUPTNESS,negative
ABSENCE,negative
ABSENCES,negative
ABSENTEEISM,negative
ABUSE,negative
ABUSED,negative
ABUSES,negative
ABUSING,negative
ABUSIVE,negative
ABUSIVELY,negative
ABUSIVENESS,negative
ACCIDENT,negative
ACCIDENTAL,negative
ACCIDENTALLY,negative
ACCIDENTS,negative
ACCUSATION,negative
ACCUSATIONS,negative
ACCUSE,negative
ACCUSED,negative
ACCUSES,negative
ACCUSING,negative
ACQUIESCE,negative
ACQUIESCED,negative
ACQUIESCES,negative
ACQUIESCING,negative
ACQUIT,negative
ACQUITS,negative
ACQUITTAL,negative
ACQUITTALS,negative
ACQUITTED,negative
ACQUITTING,negative
ADULTERATE,negative
ADULTERATED,negative
ADULTERATING,negative
ADULTERATION,negative
ADULTERATIONS,negative
ADVERSARIAL,negative
ADVERSARIES,negative
ADVERSARY,negative
ADVERSE,negative
ADVERSELY,negative
ADVERSITIES,negative
ADVERSITY,negative
AFTERMATH,negative
AFTERMATHS,negative
AGAINST,negative
AGGRAVATE,negative
AGGRAVATED,negative
AGGRAVATES,negative
AGGRAVATING,negative
AGGRAVATION,negative
AGGRAVATIONS,negative
ALERTED,negative
ALERTING,negative
ALIENATE,negative
ALIENATED,negative
ALIENATES,negative
ALIENATING,negative
ALIENATION,negative
ALIENATIONS,negative
ALLEGATION,negative
ALLEGATIONS,negative
ALLEGE,negative
ALLEGED,negative
ALLEGEDLY,negative
ALLEGES,negative
ALLEGING,negative
ANNOY,negative
ANNOYANCE,negative
ANNOYANCES,negative
ANNOYED,negative
ANNOYING,negative
ANNOYS,negative
ANNUL,negative
ANNULLED,negative
ANNULLING,negative
ANNULMENT,negative
ANNULMENTS,negative
ANNULS,negative
ANOMALIES,negative
ANOMALOUS,negative
ANOMALOUSLY,negative
ANOMALY,negative
ANTICOMPETITIVE,negative
ANTITRUST,negative
ARGUE,negative
ARGUED,negative
ARGUING,negative
ARGUMENT,negative
ARGUMENTATIVE,negative
ARGUMENTS,negative
ARREARAGE,negative
ARREARAGES,negative
ARREARS,negative
ARREST,negative
ARRESTED,negative
ARRESTS,negative
ARTIFICIALLY,negative
ASSAULT,negative
ASSAULTED,negative
ASSAULTING,negative
ASSAULTS,negative
ASSERTIONS,negative
ATTRITION,negative
AVERSELY,negative
BACKDATING,negative
BAD,negative
BAIL,negative
BAILOUT,negative
BALK,negative
BALKED,negative
BANKRUPT,negative
BANKRUPTCIES,negative
BANKRUPTCY,negative
BANKRUPTED,negative
BANKRUPTING,negative
BANKRUPTS,negative
BANS,negative
BARRED,negative
BARRIER,negative
BARRIERS,negative
BOTTLENECK,negative
BOTTLENECKS,negative
BOYCOTT,negative
BOYCOTTED,negative
BOYCOTTING,negative
BOYCOTTS,negative
BREACH,negative
BREACHED,negative
BREACHES,negative
BREACHING,negative
BREAK,negative
BREAKAGE,negative
BREAKAGES,negative
BREAKDOWN,negative
BREAKDOWNS,negative
BREAKING,negative
BREAKS,negative
BRIBE,negative
BRIBED,negative
BRIBERIES,negative
BRIBERY,negative
BRIBES,negative
BRIBING,negative
BRIDGE,negative
BROKEN,negative
BURDEN,negative
BURDENED,negative
BURDENING,negative
BURDENS,negative
BURDENSOME,negative
BURNED,negative
CALAMITIES,negative
CALAMITOUS,negative
