Name,Filing Date,Word Length_sentiment,negative,positive,uncertainty,litigious,strongmodal,weakmodal,constraining
"C&J OLD CO,INC.",7/29/11,224,0.013392857,0,0.026785714,0,0.03125,0,0
"CHEFS' WAREHOUSE, INC.",7/29/11,319,0.015673981,0,0.031347962,0.006269592,0.012539185,0.003134796,0
TEAVANA HOLDINGS INC,7/28/11,203,0.004926108,0,0.009852217,0.019704433,0.02955665,0.004926108,0.014778325
"WESCO AIRCRAFT HOLDINGS, INC",7/28/11,31,0,0,0,0,0.032258065,0,0
HORIZON THERAPEUTICS PUBLIC LTD CO,7/29/11,133,0,0,0.037593985,0.015037594,0.022556391,0,0.022556391
"THIRD COAST MIDSTREAM, LLC",7/27/11,354,0.008474576,0,0.019774011,0.005649718,0.016949153,0.002824859,0
"DUNKIN' BRANDS GROUP, INC.",7/27/11,125,0,0,0.024,0,0.016,0,0
FRANCESCA'S HOLDINGS CORP,7/25/11,426,0,0,0.004694836,0,0.023474178,0,0.004694836
"APOLLO RESIDENTIAL MORTGAGE, INC.",7/25/11,363,0.005509642,0,0.03030303,0,0.035812672,0.002754821,0.005509642
"SUNCOKE ENERGY, INC.",7/22/11,29,0,0,0,0,0.103448276,0,0
"SKULLCANDY, INC.",7/20/11,308,0.003246753,0.003246753,0.012987013,0,0.019480519,0.003246753,0.003246753
ZILLOW INC,7/20/11,126,0,0,0.015873016,0,0.015873016,0.015873016,0.007936508
TANGOE INC,7/27/11,277,0,0.014440433,0.018050542,0,0.025270758,0.010830325,0.007220217
BLUE WOLF MONGOLIA HOLDINGS CORP.,7/15/11,1700,0.012352941,0.004117647,0.010588235,0.009411765,0.022352941,0.02,0.007647059
NAUTILUS MARINE ACQUISITION CORP,7/15/11,1657,0.007845504,0.003621002,0.004224502,0.016898008,0.01931201,0.016294508,0.003017502
"OILTANKING PARTNERS, L.P.",7/15/11,215,0.004651163,0,0.041860465,0.004651163,0.03255814,0,0
"GRATITUDE HEALTH, INC.",7/8/11,29,0,0,0,0,0.068965517,0,0
AZTECA ACQUISITION CORP,7/1/11,1559,0.014753047,0.003848621,0.012828736,0.010262989,0.019243105,0.020525978,0.010262989
TUDOU HOLDINGS LTD,8/17/11,149,0,0.033557047,0.020134228,0.013422819,0.020134228,0.006711409,0.013422819
CARBONITE INC,8/11/11,102,0,0,0.029411765,0,0.029411765,0.009803922,0.009803922
AFRICA GROWTH CORP,6/29/11,7,0,0,0,0,0.142857143,0,0
MTGE INVESTMENT CORP.,8/5/11,158,0.006329114,0.006329114,0.018987342,0,0.018987342,0.006329114,0.006329114
TEUCRIUM COMMODITY TRUST,5/3/13,281,0.003558719,0.003558719,0.017793594,0.017793594,0.046263345,0.010676157,0.042704626
TEUCRIUM COMMODITY TRUST,1/24/13,281,0.003558719,0.003558719,0.017793594,0.017793594,0.046263345,0.010676157,0.042704626
TEUCRIUM COMMODITY TRUST,7/9/12,281,0.003558719,0.003558719,0.017793594,0.017793594,0.046263345,0.010676157,0.042704626
TEUCRIUM COMMODITY TRUST,3/5/12,281,0.003558719,0.003558719,0.017793594,0.017793594,0.046263345,0.010676157,0.042704626
TEUCRIUM COMMODITY TRUST,1/26/12,281,0.003558719,0.003558719,0.017793594,0.017793594,0.046263345,0.010676157,0.042704626
