comnam,ticker,filingYr
EXACT SCIENCES CORP,EXAS,2001
ALIGN TECHNOLOGY INC,ALGN,2001
PEETS COFFEE & TEA INC,PEET,2001
HSBC FINANCE CORP,HI.F,2001
PRACTICEWORKS INC,PRW,2001
RIVERSTONE NETWORKS INC,RSTN,2001
GMX RESOURCES INC,GMXRU,2001
GREENCORE TECHNOLOGY INC,AQA,2001
HEALTH SCIENCES GROUP INC,HESG,2001
THIRD WAVE TECHNOLOGIES INC /WI,TWTI,2001
"OIL STATES INTERNATIONAL, INC",OIS,2001
INVESTORS CAPITAL HOLDINGS LTD,ICH,2001
BEARINGPOINT INC,KCIN,2001
ATP OIL & GAS CORP,ATPG,2001
AGERE SYSTEMS INC,AGR'A,2001
VERISITY LTD,VRST,2001
SUREBEAM CORP,SURE,2001
ENCORE ACQUISITION CO,EAC,2001
EMPIRE DISTRICT ELECTRIC CO,EDE.D,2001
OPSWARE INC,LDCL,2001
SEATTLE GENETICS INC /WA,SGEN,2001
REGIONS FINANCIAL CORP,RF.,2001
"POPEYES LOUISIANA KITCHEN, INC.",AFCE,2001
"EAGLE VENTURES INTERNATIONAL, INC,",AMMA,2001
"GREAT SOUTHERN BANCORP, INC.",GSBCP,2001
AQUILA MERCHANT SERVICE INC,ILA,2001
SELECT MEDICAL CORP,SLMC,2001
SMITH & WOLLENSKY RESTAURANT GROUP INC,SWRG,2001
PEABODY ENERGY CORP,BTU,2001
WILLIAMS INDUSTRIAL SERVICES GROUP INC.,GEG,2001
INSTINET GROUP INC,INET,2001
SOUTHERN CO GAS,ATG.,2001
DASAN ZHONE SOLUTIONS INC,TELM,2001
"KINDER MORGAN KANSAS, INC.",KMR,2001
"GENON ENERGY, INC.",RRI,2001
SIMPLEX SOLUTIONS INC,SPLX,2001
BRIAZZ INC,BRZZ,2001
CHESTERFIELD FINANCIAL CORP,CFSL,2001
BBJ ENVIRONMENTAL TECHNOLOGIES INC,BBJE,2001
"MOSYS, INC.",MOSY,2001
GALYANS TRADING CO INC,GLYN,2001
PHOENIX COMPANIES INC/DE,PNX,2001
MULTILINK TECHNOLOGY CORP,MLTC,2001
"EDUCATION HOLDINGS 1, INC.",REVU,2001
FIRST BUSEY CORP /NV/,BUSEP,2001
FMC TECHNOLOGIES INC,FTI,2001
ODYSSEY RE HOLDINGS CORP,ORH,2001
"MONDELEZ INTERNATIONAL, INC.",KFT,2001
GENERAL MARITIME SUBSIDIARY CORP,GMR,2001
WILLIS TOWERS WATSON PLC,WSH,2001
UNITED SURGICAL PARTNERS INTERNATIONAL INC,USPI,2001
ALLIANCE DATA SYSTEMS CORP,ADS,2001
"AXON ENTERPRISE, INC.",TASR,2001
TORCH OFFSHORE INC,TORC,2001
UNILAB CORP /DE/,ULAB,2001
"STOCK YARDS BANCORP, INC.",SYI.,2001
COMERICA INC /NEW/,CMA.Z,2001
HPL TECHNOLOGIES INC,HPLA,2001
INTERACTIVE LEISURE SYSTEMS,NMEN,2001
PDF SOLUTIONS INC,PDFS,2001
"ALLIANCE HEALTHCARE SERVICES, INC",AIQ,2001
EL CAPITAN PRECIOUS METALS INC,ECPN,2001
FIRST BANCORP /PR/,FBP.C,2001
MEDCATH CORP,MDTH,2001
NATUS MEDICAL INC,BABY,2001
ACCENTURE PLC,ACN,2001
WRIGHT MEDICAL GROUP INC,WMGI,2001
GLOBE BANCORP INC,GLBP,2001
"ARMADA OIL, INC.",EDAN,2001
ALTERRA CAPITAL HOLDINGS LTD,MXRE,2001
MYKROLIS CORP,MYK,2001
"OMNICELL, INC",OMCL,2001
BUNGE LTD,BG,2001
ALLEGIANT BANCORP INC,ALLEP,2001
SECOND BANCORP CAPITAL TRUST I,SECDP,2001
LOGICVISION INC,LGVN,2001
ODYSSEY HEALTHCARE INC,ODSY,2001
"ANTHEM, INC.",ATH,2001
CROSS COUNTRY HEALTHCARE INC,CCRN,2001
PRINCIPAL FINANCIAL GROUP INC,PFG,2001
CONSOLIDATED NATURAL GAS CO/VA,DMG.A,2001
CHARTER FINANCIAL CORP/GA,CHFN,2001
REPUBLIC BANCORP INC,RBNCP,2001
REPUBLIC CAPITAL TRUST I,RBNCP,2001
PFS BANCORP INC,PBNC,2001
WHIRLWIND MARKETING INC,WLWD,2001
GIVEN IMAGING LTD,GIVN,2001
"ASSURED PHARMACY, INC.",SRFO,2001
VCA INC,WOOF,2001
UNIVERSAL MEDIA GROUP INC,MDCVU,2001
MAGMA DESIGN AUTOMATION INC,LAVA,2001
GULF POWER CO,GUP.C,2001
"HENRY BROS. ELECTRONICS, INC.",DVS,2001
BAM ENTERTAINMENT INC,BFUN,2001
"CAREPAYMENT TECHNOLOGIES, INC.",MHLXU,2001
WEIGHT WATCHERS INTERNATIONAL INC,WTW,2001
"DJO OPCO HOLDINGS, INC.",DJO,2001
ADVISORY BOARD CO,ABCO,2001
AMN HEALTHCARE SERVICES INC,AHS,2001
FISHER & PAYKEL HEALTHCARE CORP LTD,FPHC,2001
