company_name,issue_date,search_vol_avg,search_avail
cumulus media inc,1998-06-26,,0
redcats usa inc,1997-02-20,,0
pilot network services inc,1998-08-10,,0
pilot network services inc,1998-08-10,,0
skechers usa inc,1999-06-09,,0
insperity inc,1997-01-28,,0
old point,1997-02-18,,0
dtm corp /tx/,1997-05-02,,0
super nova resources inc,1997-05-13,,0
aviation distributors inc,1997-03-04,,0
digital lightwave inc,1997-02-05,,0
scpie holdings inc,1997-01-29,,0
inx inc,1997-07-07,,0
eagle supply group inc,1999-03-12,,0
promedco management co,1997-03-12,,0
brunswick technologies inc,1997-02-05,,0
castle dental centers inc,1997-09-12,,0
cerus corp,1997-01-30,,0
birman managed care inc,1997-02-12,,0
brookdale living communities inc,1997-05-01,,0
global matrechs inc,1997-05-06,,0
independence brewing co,1997-02-11,,0
schiff nutrition international inc,1997-04-30,,0
medical manager corp,1997-01-30,,0
judge group inc,1997-02-14,,0
omniquip international inc,1997-03-20,,0
rdo equipment co,1997-01-23,,0
earthshell corp,1998-03-23,,0
gentle dental service corp,1997-02-13,,0
coast dental services inc,1997-02-10,,0
progenics pharmaceuticals inc,1997-11-19,,0
national auto finance co inc,1997-01-29,,0
four media co,1997-02-07,,0
seec inc,1997-01-22,,0
helios technologies inc,1997-01-09,,0
medialink worldwide inc,1997-01-29,,0
riviera tool co,1997-03-04,,0
ergobilt inc,1997-02-03,,0
photoelectron corp,1997-01-29,,0
arm financial group inc,1997-06-18,,0
arm financial group inc,1997-06-18,,0
bright horizons inc,1997-11-07,,0
cd warehouse inc,1997-01-22,,0
vericel corp,1997-02-04,,0
general bearing corp,1997-02-07,,0
x inc /de/,1997-07-02,,0
yurie systems inc,1997-02-05,,0
earthlink network inc,1997-01-21,,0
aesp inc,1997-02-13,,0
summit holding southeast inc,1997-05-21,,0
metro information services inc,1997-01-29,,0
lottery & wagering solutions inc,1997-06-06,,0
coldwater creek inc,1997-01-28,,0
template software inc,1997-01-29,,0
physicians specialty corp,1997-03-20,,0
edge petroleum corp,1997-02-25,,0
micro therapeutics inc,1997-02-18,,0
wesley jessen visioncare inc,1997-02-12,,0
ameritrade online holdings corp,1997-03-03,,0
epix pharmaceuticals inc,1997-01-30,,0
qualix group inc,1997-02-12,,0
coulter pharmaceuticals inc,1997-01-28,,0
health grades inc,1997-02-06,,0
alere san diego inc,1997-02-12,,0
homeside international inc,1997-01-30,,0
ciena corp,1997-02-07,,0
radiant systems inc,1997-02-12,,0
ilex oncology inc,1997-02-20,,0
nact telecommunications inc,1997-02-26,,0
u s rentals inc,1997-02-21,,0
opko health inc,1997-03-07,,0
apollo international of delaware inc,1997-07-10,,0
daou systems inc,1997-02-12,,0
deltek inc,1997-02-25,,0
colonial holdings inc,1997-03-17,,0
special metals corp,1997-02-25,,0
covansys corp,1997-03-05,,0
kontron mobile computing inc,1997-03-19,,0
nexar technologies inc,1997-04-08,,0
egghead com inc/de,1997-04-17,,0
overland storage inc,1997-02-21,,0
first aviation services inc,1997-02-27,,0
nationwide financial services inc/,1997-03-05,,0
emcore corp,1997-03-06,,0
atl products inc,1997-03-07,,0
total control products inc,1997-03-11,,0
square chain corp,1997-09-18,,0
general cigar holdings inc,1997-02-28,,0
pluma inc,1997-03-10,,0
palex inc,1997-03-20,,0
onstream media corp,1997-07-30,,0
amicas inc,1997-07-10,,0
vistana inc,1997-02-27,,0
macrovision corp,1997-03-12,,0
international aircraft investors,1997-11-05,,0
neomagic corp,1997-03-13,,0
valley national gases inc,1997-04-10,,0
decrane aircraft holdings inc,1997-04-16,,0
artecon inc /de/,1997-03-11,,0
new era of networks inc,1997-06-18,,0
hamilton bancorp inc,1997-03-25,,0
ahl services inc,1997-03-27,,0
asi solutions inc,1997-04-15,,0
endocardial solutions inc,1997-03-19,,0
startek inc,1997-06-18,,0
guitar center inc,1997-03-13,,0
bea systems inc,1997-04-10,,0
meade instruments corp,1997-04-09,,0
star telecommunications inc,1997-06-12,,0
concero inc,1997-06-05,,0
international computex inc,1997-04-29,,0
maximus inc,1997-06-12,,0
gulf island fabrication inc,1997-04-03,,0
rwd technologies inc,1997-06-19,,0
long beach financial corp,1997-04-28,,0
netspeak corp,1997-05-29,,0
hagler bailly inc,1997-07-03,,0
bionx implants inc,1997-04-25,,0
brigham exploration co,1997-05-08,,0
rc corp,1997-06-11,,0
guided therapeutics inc,1997-07-01,,0
globecomm systems inc,1997-08-07,,0
sierracities com inc,1997-05-15,,0
rf micro devices inc,1997-06-03,,0
hte inc,1997-06-10,,0
carey international inc,1997-05-27,,0
apple orthodontix inc,1997-05-22,,0
iwl communications inc,1997-06-12,,0
great plains software inc,1997-06-19,,0
transcend therapeutics inc,1997-07-02,,0
rambus inc,1997-05-13,,0
information mgmt as w/d/b,1997-07-30,,0
general cable corp /de/,1997-05-15,,0
gevity hr inc,1997-06-25,,0
ivow inc,1997-07-02,,0
nei webworld inc,1997-05-21,,0
iron mountain inc,1997-06-30,,0
american retirement corp,1997-05-30,,0
probusiness services inc,1997-09-19,,0
track n trail inc,1997-10-10,,0
cardima inc,1997-06-05,,0
trover solutions inc,1997-05-21,,0
ascent pediatrics inc,1997-05-29,,0
aurora biosciences corp,1997-06-19,,0
 jr cigar inc,1997-06-26,,0
fox & hound restaurant group,1997-07-17,,0
journal register co,1997-05-07,,0
vestcom international inc,1997-07-30,,0
il fornaio america corp,1997-09-18,,0
efax com inc,1997-06-10,,0
pacific systems control technology inc,1997-07-30,,0
pacific systems control technology inc,1997-07-30,,0
amazon com inc,1997-05-15,,0
simulations plus inc,1997-06-18,,0
saxton inc,1997-06-24,,0
dsi toys inc,1997-05-28,,0
pameco corp,1997-06-04,,0
comfort systems usa inc,1997-06-27,,0
advanced communication systems inc,1997-06-27,,0
centennial healthcare corp,1997-07-02,,0
peapod inc,1997-06-10,,0
laser power corp/fa,1997-06-19,,0
monarch dental corp,1997-07-17,,0
genesys telecommunications laboratories inc,1997-06-17,,0
professional transportation group ltd inc,1997-06-19,,0
range energy corp,1997-06-23,,0
on stage entertainment inc,1997-08-13,,0
ralph lauren corp,1997-06-11,,0
orbit fr inc,1997-06-17,,0
exterran energy corp,1997-06-30,,0
world of science inc,1997-07-08,,0
telegroup inc,1997-07-09,,0
bioreliance corp,1997-07-28,,0
metrika systems corp,1997-06-19,,0
horizon pharmacies inc,1997-07-08,,0
sportsline com inc,1997-11-13,,0
acorn products inc,1997-06-24,,0
dfx interactive inc,1997-06-25,,0
aris corp/,1997-06-18,,0
qwest communications international inc,1997-06-23,,0
new century trs holdings inc,1997-06-25,,0
telesciences inc /de/,1997-07-08,,0
steel vault corp,1997-06-17,,0
heska corp,1997-06-30,,0
jones lang lasalle inc,1997-07-17,,0
jlk direct distribution inc,1997-06-26,,0
clarient inc,1997-07-01,,0
helix energy solutions group inc,1997-07-01,,0
team communications group inc,1998-07-29,,0
intest corp,1997-06-17,,0
stratesec inc,1997-10-01,,0
wheat sheaf brands inc,1997-08-14,,0
metals usa inc,1997-07-10,,0
bridgestreet accommodations inc,1997-09-24,,0
dbm global inc,1997-06-30,,0
cmp media inc,1997-07-24,,0
fine com international corp /wa/,1997-08-11,,0
trendwest resorts inc,1997-08-14,,0
sirona dental systems inc,1997-07-01,,0
peritus software services inc,1997-07-02,,0
travel services international inc,1997-07-22,,0
orthalliance inc,1997-08-21,,0
noble international ltd,1997-11-18,,0
mercator software inc,1997-07-01,,0
concentric network corp,1997-08-01,,0
ocular sciences inc /de/,1997-08-04,,0
galileo international inc,1997-07-24,,0
nxchain inc,1997-06-26,,0
friede goldman halter inc,1997-07-21,,0
excelsior henderson motorcycle manufacturing co,1997-07-23,,0
jlm industries inc,1997-07-23,,0
clearview cinema group inc,1997-08-18,,0
scheid vineyards inc,1997-07-24,,0
pacific premier bancorp inc,1997-06-24,,0
trailer bridge inc,1997-07-23,,0
eagle geophysical inc,1997-08-05,,0
 travel systems inc,1998-01-15,,0
hall kinion & associates inc,1997-08-04,,0
qad inc,1997-08-06,,0
corsair communications inc,1997-07-29,,0
pegasus solutions inc,1997-08-06,,0
syntel inc,1997-08-12,,0
compass plastics & technologies inc,1997-09-03,,0
avis group holdings inc,1997-09-23,,0
quicklogic corp,1999-10-14,,0
aehr test systems,1997-08-14,,0
arca biopharma inc,1997-08-07,,0
pc universe inc,1997-09-18,,0
carrizo oil & gas inc,1997-08-06,,0
helios & matheson analytics inc,1997-08-08,,0
osi systems inc,1997-10-01,,0
omtool ltd,1997-08-08,,0
computer motion inc,1997-08-11,,0
international total services inc,1997-09-19,,0
innova corporation,1997-08-08,,0
corporatefamily solutions inc,1997-08-12,,0
edutrek int inc,1997-09-23,,0
ctb international corp,1997-08-20,,0
group automotive inc,1997-10-29,,0
sterigenics international inc,1997-08-13,,0
emerging enterprise solutions inc,1997-08-21,,0
execustay corp,1997-08-27,,0
signature eyewear inc,1997-09-11,,0
leukosite inc,1997-08-15,,0
tripath imaging inc,1997-09-05,,0
radiologix inc,1997-11-20,,0
boron lepore & associates inc,1997-09-23,,0
mediabay inc,1997-10-22,,0
edwards j d & co,1997-09-23,,0
network solutions inc /de/,1997-09-26,,0
inspire insurance solutions inc,1997-08-22,,0
synageva biopharma corp,1997-10-07,,0
first international bancorp inc,1997-09-22,,0
childrens place inc,1997-09-18,,0
industrial distribution group inc,1997-09-23,,0
innovative valve technologies inc,1997-10-22,,0
dot hill systems corp,1997-09-16,,0
nextlink communications inc /de/,1997-09-26,,0
omega research inc,1997-09-30,,0
corixa corp,1997-10-01,,0
star buffet inc,1997-09-24,,0
pervasive software inc,1997-09-25,,0
faroudja inc,1997-10-30,,0
ivex packaging corp /de/,1997-09-30,,0
spr inc,1997-10-01,,0
renex corp,1997-10-08,,0
startec global communications corp,1997-10-09,,0
u s timberlands co lp,1997-11-13,,0
power one inc,1997-09-30,,0
american italian pasta co,1997-10-08,,0
faro technologies inc,1997-09-17,,0
walking co holdings inc,1997-09-25,,0
petersen companies inc,1997-10-01,,0
u s a floral products inc,1997-10-09,,0
nk inc,1997-10-17,,0
meadowcraft inc,1997-11-25,,0
best software inc,1997-09-30,,0
stoneridge inc,1997-10-10,,0
national research corp,1997-10-10,,0
concord communications inc,1997-10-15,,0
paula financial,1997-10-23,,0
