begdat,begprc,permno,date,prc
1986-01-07,1986-01-07,10000.0,1986-01-07,2.5625
1986-01-09,1986-01-09,10001.0,1986-01-09,5.75
1986-01-10,1986-01-10,10002.0,1986-01-10,11.75
1986-01-14,1986-01-14,10003.0,1986-01-14,18.5
1986-01-15,1986-01-15,10004.0,1986-01-15,7.25
1986-01-15,1986-01-15,10005.0,1986-01-15,0.5
1925-12-31,1925-12-31,10006.0,1925-12-31,109.0
1986-01-16,1986-01-16,10007.0,1986-01-16,3.875
1986-01-16,1986-01-16,10008.0,1986-01-16,14.0625
1986-01-17,1986-01-17,10009.0,1986-01-17,13.75
1986-01-17,1986-01-17,10010.0,1986-01-17,2.125
1988-06-08,1988-06-08,10011.0,1988-06-08,5.875
1986-01-22,1986-01-22,10012.0,1986-01-22,2.5
1986-01-22,1986-01-22,10013.0,1986-01-22,0.9375
1926-01-04,1926-01-04,10014.0,1926-01-04,1.875
1983-09-20,1983-09-20,10015.0,1983-09-20,6.5625
1986-01-24,1986-01-24,10016.0,1986-01-24,37.25
1986-01-24,1986-01-24,10017.0,1986-01-24,21.875
1986-01-24,1986-01-24,10018.0,1986-01-24,4.1875
1986-01-24,1986-01-24,10019.0,1986-01-24,11.5625
1986-01-27,1986-01-27,10020.0,1986-01-27,29.0
1986-01-27,1986-01-27,10021.0,1986-01-27,3.625
1925-12-31,1925-12-31,10022.0,1925-12-31,56.0
1972-12-14,1972-12-14,10023.0,1972-12-14,5.875
1986-01-29,1986-01-29,10024.0,1986-01-29,2.5
1986-01-30,1986-01-30,10025.0,1986-01-30,12.625
1986-02-04,1986-02-04,10026.0,1986-02-04,17.625
1986-02-04,1986-02-04,10027.0,1986-02-04,11.0
1986-02-05,1986-02-05,10028.0,1986-02-05,1.125
1986-02-05,1986-02-05,10029.0,1986-02-05,10.75
1925-12-31,1925-12-31,10030.0,1925-12-31,150.0
1983-12-07,1983-12-07,10031.0,1983-12-07,6.125
1986-02-05,1986-02-05,10032.0,1986-02-05,10.0625
1986-02-05,1986-02-05,10033.0,1986-02-05,8.0
1986-02-06,1986-02-06,10034.0,1986-02-06,21.875
1986-02-06,1986-02-06,10035.0,1986-02-06,15.125
1986-02-06,1986-02-06,10036.0,1986-02-06,1.6875
1986-02-06,1986-02-06,10037.0,1986-02-06,15.0
1986-02-06,1986-02-06,10038.0,1986-02-06,7.3125
1986-02-07,1986-02-07,10039.0,1986-02-07,5.0
1986-02-07,1986-02-07,10040.0,1986-02-07,5.75
1986-02-07,1986-02-07,10041.0,1986-02-07,1.375
1986-02-07,1986-02-07,10042.0,1986-02-07,2.1875
1986-02-11,1986-02-11,10043.0,1986-02-11,10.75
1986-02-11,1986-02-11,10044.0,1986-02-11,3.1875
1986-02-11,1986-02-11,10045.0,1986-02-11,6.75
1986-02-14,1986-02-14,10046.0,1986-02-14,15.25
1986-02-11,1986-02-11,10047.0,1986-02-11,10.1875
1986-02-12,1986-02-12,10048.0,1986-02-12,12.1875
1925-12-31,1925-12-31,10049.0,1925-12-31,74.0
1972-12-29,1972-12-29,10050.0,1972-12-29,13.75
1986-02-14,1986-02-14,10051.0,1986-02-14,2.0
1986-02-14,1986-02-14,10052.0,1986-02-14,3.5
1986-02-14,1986-02-14,10053.0,1986-02-14,1.875
1986-02-14,1986-02-14,10054.0,1986-02-14,0.25
1986-02-14,1986-02-14,10055.0,1986-02-14,0.75
1986-02-14,1986-02-14,10056.0,1986-02-14,28.375
1925-12-31,1925-12-31,10057.0,1925-12-31,12.25
1972-12-14,1972-12-14,10058.0,1972-12-14,6.625
1986-02-24,1986-02-24,10059.0,1986-02-24,31.5625
1986-02-24,1986-02-24,10060.0,1986-02-24,12.8125
1986-02-19,1986-02-19,10061.0,1986-02-19,18.875
1986-02-19,1986-02-19,10062.0,1986-02-19,10.25
1986-02-19,1986-02-19,10063.0,1986-02-19,3.1875
1986-02-20,1986-02-20,10064.0,1986-02-20,6.0625
1925-12-31,1925-12-31,10065.0,1925-12-31,107.5
1983-08-25,1983-08-25,10066.0,1983-08-25,2.3125
1986-02-20,1986-02-20,10067.0,1986-02-20,10.375
1986-02-21,1986-02-21,10068.0,1986-02-21,2.5625
1986-02-24,1986-02-24,10069.0,1986-02-24,4.6875
1986-02-27,1986-02-27,10070.0,1986-02-27,6.375
1986-02-28,1986-02-28,10071.0,1986-02-28,29.25
1986-02-28,1986-02-28,10072.0,1986-02-28,1.375
1925-12-31,1925-12-31,10073.0,1925-12-31,17.5
