permno,permco,namedt,nameenddt,comnam,cusip,ticker,exchcd,begdat,begprc,date,prc
10000.0,7952.0,1986-01-07,1987-06-11,OPTIMUM MANUFACTURING INC,68391610,OMFGA,3.0,1986-01-07,1986-01-07,1986-01-07,2.5625
10001.0,7953.0,1986-01-09,1993-11-21,GREAT FALLS GAS CO,36720410,GFGC,3.0,1986-01-09,1986-01-09,1986-01-09,5.75
10002.0,7954.0,1986-01-10,1993-09-29,MOBILE NATIONAL CORP,05978R10,MBNC,3.0,1986-01-10,1986-01-10,1986-01-10,11.75
10003.0,7957.0,1986-01-14,1995-12-15,GREAT COUNTRY BK ASONIA CT,39031810,GCBK,3.0,1986-01-14,1986-01-14,1986-01-14,18.5
10005.0,7961.0,1986-01-15,1991-07-11,WESTERN ENERGY RESOURCES INC,95815510,WERC,3.0,1986-01-15,1986-01-15,1986-01-15,0.5
10006.0,22156.0,1925-12-31,1954-05-31,AMERICAN CAR & FDRY CO,00080010,,1.0,1925-12-31,1925-12-31,1925-12-31,109.0
10007.0,7963.0,1986-01-16,1987-06-02,SHAREDATA INC,81949130,SDIC,3.0,1986-01-16,1986-01-16,1986-01-16,3.875
10008.0,7964.0,1986-01-16,1988-11-21,GARDENAMERICA CORP,36547310,GACO,3.0,1986-01-16,1986-01-16,1986-01-16,14.0625
10009.0,7965.0,1986-01-17,1990-03-01,CAYUGA SAVINGS BANK NY,46334710,CAYB,3.0,1986-01-17,1986-01-17,1986-01-17,13.75
10010.0,7967.0,1986-01-17,1995-08-28,CABOT MEDICAL CORP,12709510,CBOT,3.0,1986-01-17,1986-01-17,1986-01-17,2.125
10011.0,9813.0,1988-06-08,1996-10-17,A T C ENVIRONMENTAL INC,00206710,ATCE,3.0,1988-06-08,1988-06-08,1988-06-08,5.875
10012.0,7969.0,1986-01-22,1987-08-03,DENSE PACIFIC MICROSYSTEMS INC,23326910,DPAC,3.0,1986-01-22,1986-01-22,1986-01-22,2.5
10013.0,7825.0,1986-01-22,1987-06-16,ARIZONA APPETITOS STORES INC,04045810,AAPI,3.0,1986-01-22,1986-01-22,1986-01-22,0.9375
10014.0,22157.0,1926-01-04,1959-06-25,ALASKA JUNEAU GOLD MNG CO,00147610,,1.0,1926-01-04,1926-01-04,1926-01-04,1.875
10015.0,6398.0,1983-09-20,1986-07-08,A & M FOOD SERVICES INC,00016510,AMFD,3.0,1983-09-20,1983-09-20,1983-09-20,6.5625
10016.0,1728.0,1986-01-24,1986-12-28,FIGGIE INTERNATIONAL HLDGS INC,81002230,FIGIA,3.0,1986-01-24,1986-01-24,1986-01-24,37.25
10017.0,7970.0,1986-01-24,1988-09-27,CONCURRENT COMPUTER CORP,20670910,CCUR,3.0,1986-01-24,1986-01-24,1986-01-24,21.875
10018.0,7943.0,1986-01-24,1995-11-10,DELTA COMPUTEC INC,24750910,DCIS,3.0,1986-01-24,1986-01-24,1986-01-24,4.1875
10019.0,7971.0,1986-01-24,2002-06-18,I F R SYSTEMS INC,44950710,IFRS,3.0,1986-01-24,1986-01-24,1986-01-24,11.5625
10020.0,7972.0,1986-01-27,1993-04-30,KEY CENTURION BANCSHARES,49307510,KEYC,3.0,1986-01-27,1986-01-27,1986-01-27,29.0
10021.0,7973.0,1986-01-27,1992-10-12,BRAINERD INTERNATIONAL INC,10488220,BIRI,3.0,1986-01-27,1986-01-27,1986-01-27,3.625
10022.0,22158.0,1925-12-31,1957-06-30,AMERICAN SAFETY RAZOR CORP,00299090,,1.0,1925-12-31,1925-12-31,1925-12-31,56.0
