permno,permco,namedt,nameenddt,comnam,cusip,ticker,exchcd
10000,7952,1/7/86,6/11/87,OPTIMUM MANUFACTURING INC,68391610,OMFGA,3
10001,7953,1/9/86,11/21/93,GREAT FALLS GAS CO,36720410,GFGC,3
10001,7953,11/22/93,2/4/08,ENERGY WEST INC,36720410,EWST,3
10001,7953,2/5/08,8/3/09,ENERGY WEST INC,36720410,EWST,3
10001,7953,8/4/09,12/17/09,ENERGY INC,36720410,EGAS,3
10001,7953,12/18/09,7/8/10,ENERGY INC,36720410,EGAS,2
10001,7953,7/9/10,8/3/17,GAS NATURAL INC,36720410,EGAS,2
10002,7954,1/10/86,9/29/93,MOBILE NATIONAL CORP,05978R10,MBNC,3
10002,7954,9/30/93,5/14/02,SOUTH ALABAMA BANCORPORATION IN,05978R10,SABC,3
10002,7954,5/15/02,2/15/13,BANCTRUST FINANCIAL GROUP INC,05978R10,BTFG,3
10003,7957,1/14/86,12/15/95,GREAT COUNTRY BK ASONIA CT,39031810,GCBK,3
10005,7961,1/15/86,7/11/91,WESTERN ENERGY RESOURCES INC,95815510,WERC,3
10006,22156,12/31/25,5/31/54,AMERICAN CAR & FDRY CO,80010,,1
10006,22156,6/1/54,7/1/62,A C F INDUSTRIES INC,80010,,1
10006,22156,7/2/62,1/1/68,A C F INDUSTRIES INC,80010,ACF,1
10006,22156,1/2/68,6/28/84,A C F INDUSTRIES INC,80010,ACF,1
10007,7963,1/16/86,6/2/87,SHAREDATA INC,81949130,SDIC,3
10007,7963,6/3/87,7/12/87,SHAREDATA INC,81949130,SDICV,3
10007,7963,7/13/87,12/21/87,SHAREDATA INC,81949130,SDIC,3
10007,7963,12/22/87,2/21/89,SHAREDATA INC,81949130,,0
10007,7963,2/22/89,10/16/90,SHAREDATA INC,81949130,SHRD,3
10008,7964,1/16/86,11/21/88,GARDENAMERICA CORP,36547310,GACO,3
10009,7965,1/17/86,3/1/90,CAYUGA SAVINGS BANK NY,46334710,CAYB,3
10009,7965,3/2/90,11/3/00,IROQUOIS BANCORP INC,46334710,IROQ,3
10010,7967,1/17/86,8/28/95,CABOT MEDICAL CORP,12709510,CBOT,3
10011,9813,6/8/88,10/17/96,A T C ENVIRONMENTAL INC,206710,ATCE,3
10011,9813,10/18/96,2/6/98,A T C GROUP SERVICES INC,206710,ATCS,3
10012,7969,1/22/86,8/3/87,DENSE PACIFIC MICROSYSTEMS INC,23326910,DPAC,3
10012,7969,8/4/87,10/22/87,DENSE PACIFIC MICROSYSTEMS INC,23326910,,0
10012,7969,10/23/87,7/12/88,DENSE PACIFIC MICROSYSTEMS INC,23326910,DPAC,3
10012,7969,7/13/88,8/20/01,DENSE PACIFIC MICROSYSTEMS INC,23326910,DPAC,3
10012,7969,8/21/01,8/2/05,D P A C TECHNOLOGIES CORP,23326910,DPAC,3
10013,7825,1/22/86,6/16/87,ARIZONA APPETITOS STORES INC,4045810,AAPI,3
10014,22157,1/4/26,6/25/59,ALASKA JUNEAU GOLD MNG CO,147610,,1
10014,22157,6/26/59,7/1/62,A J INDUSTRIES INC,147610,,1
10014,22157,7/2/62,1/1/68,A J INDUSTRIES INC,147610,AJ,1
10014,22157,1/2/68,4/7/77,A J INDUSTRIES INC,147610,AJ,1
10015,6398,9/20/83,7/8/86,A & M FOOD SERVICES INC,16510,AMFD,3
10016,1728,1/24/86,12/28/86,FIGGIE INTERNATIONAL HLDGS INC,81002230,FIGIA,3
10016,1728,12/29/86,5/25/98,FIGGIE INTERNATIONAL INC DEL,81002230,FIGIA,3
10016,1728,5/26/98,12/15/98,SCOTT TECHNOLOGIES INC,81002230,SCTTA,3
10016,1728,12/16/98,5/3/01,SCOTT TECHNOLOGIES INC,81002230,SCTT,3
10017,7970,1/24/86,9/27/88,CONCURRENT COMPUTER CORP,20670910,CCUR,3
10018,7943,1/24/86,11/10/95,DELTA COMPUTEC INC,24750910,DCIS,3
10019,7971,1/24/86,6/18/02,I F R SYSTEMS INC,44950710,IFRS,3
10020,7972,1/27/86,4/30/93,KEY CENTURION BANCSHARES,49307510,KEYC,3
10021,7973,1/27/86,10/12/92,BRAINERD INTERNATIONAL INC,10488220,BIRI,3
10021,7973,10/13/92,12/29/95,BRAINERD INTERNATIONAL INC,10488220,BIRI,3
10022,22158,12/31/25,6/30/57,AMERICAN SAFETY RAZOR CORP,299090,,1
10022,22158,7/1/57,5/3/60,A S R PRODS CORP,299090,,1
10023,22159,12/14/72,6/5/73,A A I CORP,35210,,3
